"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2020","1.2213","1.2298","1.2310","1.2209","","-0.67%"
"12/30/2020","1.2295","1.2248","1.2311","1.2245","","0.39%"
"12/29/2020","1.2247","1.2217","1.2276","1.2208","","0.27%"
"12/28/2020","1.2214","1.2202","1.2251","1.2180","","0.08%"
"12/25/2020","1.2204","1.2187","1.2212","1.2165","","0.15%"
"12/24/2020","1.2186","1.2188","1.2216","1.2176","","0.01%"
"12/23/2020","1.2185","1.2163","1.2222","1.2154","","0.20%"
"12/22/2020","1.2161","1.2244","1.2258","1.2152","","-0.66%"
"12/21/2020","1.2242","1.2242","1.2254","1.2130","","-0.11%"
"12/18/2020","1.2255","1.2268","1.2273","1.2225","","-0.09%"
"12/17/2020","1.2266","1.2199","1.2274","1.2191","","0.57%"
"12/16/2020","1.2197","1.2152","1.2213","1.2125","","0.38%"
"12/15/2020","1.2151","1.2144","1.2171","1.2121","","0.07%"
"12/14/2020","1.2143","1.2131","1.2178","1.2115","","0.26%"
"12/11/2020","1.2111","1.2137","1.2163","1.2104","","-0.21%"
"12/10/2020","1.2136","1.2083","1.2159","1.2075","","0.46%"
"12/09/2020","1.2081","1.2103","1.2149","1.2058","","-0.17%"
"12/08/2020","1.2101","1.2109","1.2135","1.2095","","-0.06%"
"12/07/2020","1.2108","1.2129","1.2167","1.2078","","-0.10%"
"12/04/2020","1.2120","1.2142","1.2178","1.2110","","-0.16%"
"12/03/2020","1.2140","1.2115","1.2176","1.2100","","0.21%"
"12/02/2020","1.2115","1.2070","1.2119","1.2039","","0.37%"
"12/01/2020","1.2070","1.1928","1.2077","1.1926","","1.19%"
"11/30/2020","1.1928","1.1957","1.2005","1.1923","","-0.28%"
"11/27/2020","1.1962","1.1914","1.1965","1.1907","","0.41%"
"11/26/2020","1.1913","1.1916","1.1942","1.1885","","0.00%"
"11/25/2020","1.1913","1.1891","1.1931","1.1881","","0.21%"
"11/24/2020","1.1888","1.1842","1.1896","1.1837","","0.41%"
"11/23/2020","1.1840","1.1853","1.1907","1.1800","","-0.11%"
"11/20/2020","1.1853","1.1875","1.1892","1.1850","","-0.17%"
"11/19/2020","1.1873","1.1854","1.1883","1.1816","","0.18%"
"11/18/2020","1.1852","1.1863","1.1893","1.1849","","-0.08%"
"11/17/2020","1.1861","1.1852","1.1894","1.1843","","0.07%"
"11/16/2020","1.1853","1.1829","1.1870","1.1814","","0.18%"
"11/13/2020","1.1832","1.1805","1.1838","1.1799","","0.24%"
"11/12/2020","1.1804","1.1777","1.1824","1.1758","","0.23%"
"11/11/2020","1.1777","1.1810","1.1835","1.1745","","-0.31%"
"11/10/2020","1.1814","1.1813","1.1844","1.1780","","0.01%"
"11/09/2020","1.1813","1.1881","1.1921","1.1795","","-0.50%"
"11/06/2020","1.1872","1.1827","1.1892","1.1795","","0.43%"
"11/05/2020","1.1821","1.1725","1.1860","1.1711","","0.84%"
"11/04/2020","1.1722","1.1715","1.1770","1.1604","","0.09%"
"11/03/2020","1.1711","1.1641","1.1740","1.1633","","0.61%"
"11/02/2020","1.1640","1.1658","1.1658","1.1622","","-0.06%"
"10/30/2020","1.1647","1.1674","1.1705","1.1639","","-0.23%"
"10/29/2020","1.1674","1.1747","1.1759","1.1650","","-0.60%"
"10/28/2020","1.1744","1.1795","1.1799","1.1717","","-0.43%"
"10/27/2020","1.1795","1.1810","1.1839","1.1793","","-0.11%"
"10/26/2020","1.1808","1.1858","1.1861","1.1803","","-0.43%"
"10/23/2020","1.1859","1.1819","1.1866","1.1787","","0.36%"
"10/22/2020","1.1816","1.1862","1.1868","1.1812","","-0.38%"
"10/21/2020","1.1861","1.1822","1.1881","1.1821","","0.34%"
"10/20/2020","1.1821","1.1770","1.1841","1.1759","","0.47%"
"10/19/2020","1.1766","1.1721","1.1795","1.1703","","0.41%"
"10/16/2020","1.1718","1.1708","1.1747","1.1694","","0.10%"
"10/15/2020","1.1706","1.1748","1.1759","1.1688","","-0.34%"
"10/14/2020","1.1746","1.1746","1.1772","1.1719","","0.02%"
"10/13/2020","1.1744","1.1813","1.1817","1.1731","","-0.58%"
"10/12/2020","1.1813","1.1820","1.1828","1.1786","","-0.09%"
"10/09/2020","1.1824","1.1759","1.1833","1.1753","","0.56%"
"10/08/2020","1.1758","1.1762","1.1782","1.1732","","-0.02%"
"10/07/2020","1.1760","1.1735","1.1783","1.1725","","0.22%"
"10/06/2020","1.1734","1.1782","1.1809","1.1732","","-0.40%"
"10/05/2020","1.1781","1.1716","1.1799","1.1707","","0.58%"
"10/02/2020","1.1713","1.1748","1.1751","1.1696","","-0.29%"
"10/01/2020","1.1747","1.1719","1.1771","1.1717","","0.25%"
"09/30/2020","1.1718","1.1743","1.1756","1.1685","","-0.20%"
"09/29/2020","1.1742","1.1666","1.1747","1.1660","","0.67%"
"09/28/2020","1.1664","1.1638","1.1679","1.1614","","0.29%"
"09/25/2020","1.1630","1.1671","1.1686","1.1612","","-0.36%"
"09/24/2020","1.1672","1.1660","1.1689","1.1626","","0.11%"
"09/23/2020","1.1659","1.1708","1.1719","1.1651","","-0.40%"
"09/22/2020","1.1706","1.1771","1.1774","1.1692","","-0.54%"
"09/21/2020","1.1769","1.1848","1.1873","1.1731","","-0.57%"
"09/18/2020","1.1837","1.1849","1.1871","1.1827","","-0.08%"
"09/17/2020","1.1847","1.1816","1.1854","1.1736","","0.28%"
"09/16/2020","1.1814","1.1850","1.1883","1.1787","","-0.26%"
"09/15/2020","1.1845","1.1865","1.1900","1.1839","","-0.19%"
"09/14/2020","1.1868","1.1840","1.1889","1.1830","","0.19%"
"09/11/2020","1.1845","1.1814","1.1875","1.1813","","0.27%"
"09/10/2020","1.1813","1.1801","1.1917","1.1800","","0.09%"
"09/09/2020","1.1802","1.1777","1.1835","1.1753","","0.20%"
"09/08/2020","1.1779","1.1817","1.1829","1.1765","","-0.32%"
"09/07/2020","1.1817","1.1833","1.1850","1.1812","","-0.18%"
"09/04/2020","1.1838","1.1850","1.1866","1.1780","","-0.09%"
"09/03/2020","1.1849","1.1852","1.1866","1.1789","","-0.03%"
"09/02/2020","1.1853","1.1911","1.1931","1.1822","","-0.48%"
"09/01/2020","1.1910","1.1936","1.2013","1.1900","","-0.22%"
"08/31/2020","1.1936","1.1899","1.1967","1.1883","","0.28%"
"08/28/2020","1.1903","1.1822","1.1921","1.1811","","0.69%"
"08/27/2020","1.1821","1.1831","1.1902","1.1762","","-0.07%"
"08/26/2020","1.1829","1.1835","1.1841","1.1772","","-0.03%"
"08/25/2020","1.1833","1.1793","1.1845","1.1783","","0.39%"
"08/24/2020","1.1787","1.1787","1.1851","1.1784","","-0.07%"
"08/21/2020","1.1795","1.1860","1.1883","1.1754","","-0.54%"
"08/20/2020","1.1859","1.1839","1.1870","1.1801","","0.19%"
"08/19/2020","1.1836","1.1931","1.1954","1.1830","","-0.78%"
"08/18/2020","1.1929","1.1871","1.1967","1.1865","","0.51%"
"08/17/2020","1.1869","1.1840","1.1881","1.1829","","0.24%"
"08/14/2020","1.1841","1.1815","1.1852","1.1782","","0.25%"
"08/13/2020","1.1812","1.1786","1.1865","1.1780","","0.25%"
"08/12/2020","1.1782","1.1740","1.1816","1.1711","","0.37%"
"08/11/2020","1.1739","1.1738","1.1808","1.1722","","0.03%"
"08/10/2020","1.1736","1.1788","1.1803","1.1736","","-0.42%"
"08/07/2020","1.1786","1.1877","1.1885","1.1755","","-0.75%"
"08/06/2020","1.1875","1.1863","1.1917","1.1818","","0.12%"
"08/05/2020","1.1861","1.1802","1.1906","1.1793","","0.52%"
"08/04/2020","1.1800","1.1765","1.1807","1.1721","","0.33%"
"08/03/2020","1.1761","1.1783","1.1797","1.1696","","-0.11%"
"07/31/2020","1.1774","1.1846","1.1910","1.1760","","-0.61%"
"07/30/2020","1.1846","1.1788","1.1849","1.1731","","0.47%"
"07/29/2020","1.1790","1.1718","1.1807","1.1713","","0.65%"
"07/28/2020","1.1714","1.1753","1.1774","1.1698","","-0.31%"
"07/27/2020","1.1751","1.1647","1.1782","1.1637","","0.83%"
"07/24/2020","1.1654","1.1597","1.1660","1.1580","","0.52%"
"07/23/2020","1.1594","1.1575","1.1628","1.1540","","0.22%"
"07/22/2020","1.1568","1.1528","1.1602","1.1507","","0.36%"
"07/21/2020","1.1526","1.1448","1.1540","1.1423","","0.72%"
"07/20/2020","1.1444","1.1410","1.1469","1.1402","","0.16%"
"07/17/2020","1.1426","1.1384","1.1445","1.1377","","0.38%"
"07/16/2020","1.1383","1.1411","1.1443","1.1370","","-0.24%"
"07/15/2020","1.1410","1.1400","1.1452","1.1391","","0.12%"
"07/14/2020","1.1396","1.1343","1.1410","1.1325","","0.49%"
"07/13/2020","1.1340","1.1300","1.1376","1.1297","","0.37%"
"07/10/2020","1.1298","1.1285","1.1326","1.1254","","0.15%"
"07/09/2020","1.1281","1.1329","1.1372","1.1280","","-0.42%"
"07/08/2020","1.1329","1.1273","1.1353","1.1262","","0.52%"
"07/07/2020","1.1270","1.1308","1.1334","1.1258","","-0.34%"
"07/06/2020","1.1308","1.1242","1.1347","1.1240","","0.53%"
"07/03/2020","1.1248","1.1239","1.1254","1.1219","","0.09%"
"07/02/2020","1.1238","1.1252","1.1304","1.1223","","-0.11%"
