"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"31.12.2021","1,1368","1,1324","1,1387","1,1303","","0,40%"
"30.12.2021","1,1323","1,1349","1,1361","1,1298","","-0,22%"
"29.12.2021","1,1348","1,1311","1,1370","1,1273","","0,34%"
"28.12.2021","1,1309","1,1329","1,1334","1,1289","","-0,14%"
"27.12.2021","1,1325","1,1318","1,1335","1,1303","","0,07%"
"24.12.2021","1,1317","1,1330","1,1345","1,1303","","-0,10%"
"23.12.2021","1,1328","1,1325","1,1343","1,1290","","0,04%"
"22.12.2021","1,1324","1,1279","1,1343","1,1264","","0,36%"
"21.12.2021","1,1283","1,1277","1,1304","1,1261","","0,07%"
"20.12.2021","1,1275","1,1242","1,1305","1,1234","","0,32%"
"17.12.2021","1,1239","1,1330","1,1349","1,1235","","-0,79%"
"16.12.2021","1,1328","1,1286","1,1361","1,1281","","0,38%"
"15.12.2021","1,1285","1,1260","1,1300","1,1222","","0,25%"
"14.12.2021","1,1257","1,1285","1,1327","1,1253","","-0,23%"
"13.12.2021","1,1283","1,1317","1,1321","1,1260","","-0,25%"
"10.12.2021","1,1311","1,1293","1,1325","1,1265","","0,17%"
"09.12.2021","1,1292","1,1342","1,1348","1,1278","","-0,44%"
"08.12.2021","1,1342","1,1268","1,1355","1,1265","","0,70%"
"07.12.2021","1,1263","1,1287","1,1301","1,1228","","-0,19%"
"06.12.2021","1,1285","1,1321","1,1321","1,1266","","-0,25%"
"03.12.2021","1,1313","1,1301","1,1334","1,1266","","0,12%"
"02.12.2021","1,1299","1,1320","1,1349","1,1294","","-0,18%"
"01.12.2021","1,1319","1,1339","1,1361","1,1302","","-0,15%"
"30.11.2021","1,1336","1,1291","1,1384","1,1235","","0,40%"
"29.11.2021","1,1291","1,1309","1,1316","1,1258","","-0,23%"
"26.11.2021","1,1317","1,1209","1,1332","1,1205","","0,99%"
"25.11.2021","1,1206","1,1198","1,1231","1,1198","","0,08%"
"24.11.2021","1,1197","1,1248","1,1256","1,1186","","-0,44%"
"23.11.2021","1,1246","1,1237","1,1275","1,1226","","0,11%"
"22.11.2021","1,1234","1,1292","1,1292","1,1230","","-0,48%"
"19.11.2021","1,1288","1,1371","1,1374","1,1250","","-0,71%"
"18.11.2021","1,1369","1,1319","1,1375","1,1313","","0,44%"
"17.11.2021","1,1319","1,1321","1,1333","1,1264","","0,00%"
"16.11.2021","1,1319","1,1368","1,1387","1,1309","","-0,42%"
"15.11.2021","1,1367","1,1452","1,1465","1,1355","","-0,72%"
"12.11.2021","1,1450","1,1454","1,1463","1,1433","","0,00%"
"11.11.2021","1,1450","1,1482","1,1489","1,1443","","-0,24%"
"10.11.2021","1,1478","1,1593","1,1597","1,1475","","-0,97%"
"09.11.2021","1,1591","1,1589","1,1610","1,1570","","0,04%"
"08.11.2021","1,1586","1,1555","1,1595","1,1550","","0,17%"
"05.11.2021","1,1566","1,1553","1,1574","1,1513","","0,12%"
"04.11.2021","1,1552","1,1612","1,1618","1,1528","","-0,50%"
"03.11.2021","1,1610","1,1579","1,1617","1,1562","","0,29%"
"02.11.2021","1,1577","1,1605","1,1614","1,1574","","-0,25%"
"01.11.2021","1,1606","1,1559","1,1610","1,1546","","0,39%"
"29.10.2021","1,1561","1,1679","1,1691","1,1534","","-1,01%"
"28.10.2021","1,1679","1,1606","1,1693","1,1582","","0,65%"
"27.10.2021","1,1604","1,1597","1,1627","1,1585","","0,08%"
"26.10.2021","1,1595","1,1607","1,1627","1,1585","","-0,09%"
"25.10.2021","1,1606","1,1644","1,1666","1,1590","","-0,35%"
"22.10.2021","1,1647","1,1623","1,1656","1,1620","","0,22%"
"21.10.2021","1,1621","1,1650","1,1668","1,1620","","-0,24%"
"20.10.2021","1,1649","1,1634","1,1660","1,1616","","0,15%"
"19.10.2021","1,1632","1,1611","1,1670","1,1608","","0,20%"
"18.10.2021","1,1609","1,1597","1,1624","1,1571","","0,08%"
"15.10.2021","1,1600","1,1599","1,1620","1,1588","","0,05%"
"14.10.2021","1,1594","1,1593","1,1625","1,1584","","0,02%"
"13.10.2021","1,1592","1,1528","1,1598","1,1527","","0,56%"
"12.10.2021","1,1527","1,1555","1,1571","1,1524","","-0,21%"
"11.10.2021","1,1551","1,1571","1,1588","1,1549","","-0,14%"
"08.10.2021","1,1567","1,1551","1,1586","1,1540","","0,15%"
"07.10.2021","1,1550","1,1556","1,1572","1,1548","","-0,05%"
"06.10.2021","1,1556","1,1603","1,1605","1,1529","","-0,34%"
"05.10.2021","1,1596","1,1623","1,1623","1,1580","","-0,22%"
"04.10.2021","1,1621","1,1593","1,1641","1,1587","","0,23%"
"01.10.2021","1,1594","1,1582","1,1608","1,1563","","0,11%"
"30.09.2021","1,1581","1,1596","1,1612","1,1562","","-0,12%"
"29.09.2021","1,1595","1,1683","1,1691","1,1589","","-0,74%"
"28.09.2021","1,1681","1,1696","1,1704","1,1668","","-0,11%"
"27.09.2021","1,1694","1,1724","1,1728","1,1685","","-0,17%"
"24.09.2021","1,1714","1,1738","1,1749","1,1700","","-0,19%"
"23.09.2021","1,1736","1,1686","1,1751","1,1683","","0,43%"
"22.09.2021","1,1686","1,1726","1,1757","1,1684","","-0,32%"
"21.09.2021","1,1723","1,1726","1,1751","1,1715","","-0,02%"
"20.09.2021","1,1725","1,1732","1,1737","1,1700","","0,00%"
"17.09.2021","1,1725","1,1762","1,1790","1,1724","","-0,33%"
"16.09.2021","1,1764","1,1816","1,1822","1,1751","","-0,43%"
"15.09.2021","1,1815","1,1806","1,1833","1,1799","","0,11%"
"14.09.2021","1,1802","1,1812","1,1847","1,1799","","-0,05%"
"13.09.2021","1,1808","1,1814","1,1818","1,1770","","-0,05%"
"10.09.2021","1,1814","1,1826","1,1852","1,1809","","-0,09%"
"09.09.2021","1,1825","1,1817","1,1843","1,1805","","0,10%"
"08.09.2021","1,1813","1,1840","1,1852","1,1801","","-0,22%"
"07.09.2021","1,1839","1,1870","1,1886","1,1837","","-0,24%"
"06.09.2021","1,1868","1,1879","1,1888","1,1855","","-0,12%"
"03.09.2021","1,1882","1,1875","1,1910","1,1866","","0,08%"
"02.09.2021","1,1873","1,1839","1,1877","1,1834","","0,30%"
"01.09.2021","1,1837","1,1810","1,1858","1,1793","","0,25%"
"31.08.2021","1,1807","1,1797","1,1848","1,1795","","0,10%"
"30.08.2021","1,1795","1,1793","1,1811","1,1782","","0,02%"
"27.08.2021","1,1793","1,1752","1,1803","1,1734","","0,37%"
"26.08.2021","1,1750","1,1772","1,1780","1,1746","","-0,17%"
"25.08.2021","1,1770","1,1754","1,1776","1,1726","","0,14%"
"24.08.2021","1,1753","1,1746","1,1766","1,1727","","0,09%"
"23.08.2021","1,1743","1,1694","1,1751","1,1692","","0,40%"
"20.08.2021","1,1696","1,1675","1,1706","1,1664","","0,19%"
"19.08.2021","1,1674","1,1711","1,1717","1,1666","","-0,31%"
"18.08.2021","1,1710","1,1710","1,1743","1,1694","","0,02%"
"17.08.2021","1,1708","1,1776","1,1786","1,1708","","-0,59%"
"16.08.2021","1,1777","1,1794","1,1801","1,1767","","-0,12%"
"13.08.2021","1,1791","1,1730","1,1806","1,1728","","0,55%"
"12.08.2021","1,1727","1,1738","1,1749","1,1724","","-0,09%"
"11.08.2021","1,1737","1,1720","1,1753","1,1706","","0,16%"
"10.08.2021","1,1718","1,1738","1,1744","1,1710","","-0,16%"
"09.08.2021","1,1737","1,1762","1,1770","1,1734","","-0,20%"
"06.08.2021","1,1760","1,1834","1,1837","1,1753","","-0,61%"
